1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25
1, 1, 1.47969, 2.43549, 2.57974, 3.50218, 2.88875, 3.07798, 3.73238, 4.04014, 3.38704, 3.01416, 3.92716, 4.39629, 4.85853, 6.37017, 5.58019, 4.77657, 7.17121, 8.37542, 8.70685, 9.61464, 9.92153, 10.7494, 14.4394
1, 1.1433, 1.23187, 2.46736, 2.43384, 3.45985, 3.02867, 3.01961, 3.69996, 4.01381, 3.40395, 2.9139, 3.68067, 4.68894, 4.71779, 6.28171, 5.28954, 4.89417, 7.86457, 8.41325, 8.57063, 9.63091, 9.7085, 10.7896, 13.9455
1, 1.00514, 1.60409, 2.52327, 2.57799, 3.20859, 3.07928, 3.03708, 3.79457, 3.83943, 3.54899, 2.7274, 3.92849, 4.36538, 4.56247, 5.8271, 5.50251, 4.72033, 7.72444, 8.18655, 8.12854, 9.59789, 9.30022, 10.4667, 12.973
1, 1.14791, 1.4253, 2.53701, 2.51431, 2.75627, 2.92865, 3.35781, 3.70444, 3.53674, 3.61981, 3.19382, 3.87176, 4.3634, 4.38785, 5.75562, 5.55437, 4.64076, 7.51885, 7.95304, 7.9112, 9.47899, 9.18531, 10.0663, 12.764
1, 1.33892, 1.34293, 2.60092, 2.58184, 2.76123, 2.84379, 3.20679, 3.84711, 3.40931, 3.5845, 4.34552, 3.8506, 4.04287, 4.28749, 5.56881, 5.07537, 4.75999, 7.47729, 7.94268, 7.62128, 9.55191, 9.31481, 9.87204, 12.2995
1, 1.09251, 1.56868, 2.47438, 3.24607, 3.02424, 2.79544, 3.12756, 3.8596, 3.53901, 3.66655, 4.07729, 3.84333, 3.96691, 4.08495, 5.5315, 5.24864, 4.74058, 7.10105, 7.89178, 7.50765, 8.98502, 9.17081, 9.72511, 11.8972
1, 1.19719, 1.55639, 2.51834, 3.18578, 2.80209, 2.84629, 3.02036, 4.05079, 3.59761, 3.63053, 4.06994, 3.96252, 3.83461, 4.04257, 5.38348, 5.24329, 4.69756, 7.25749, 7.81133, 7.27678, 8.76372, 9.61354, 9.55478, 10.78
1, 1.13995, 1.83369, 2.45694, 3.23872, 2.5662, 2.8893, 2.98198, 4.21745, 3.68335, 3.48629, 3.35992, 3.77694, 3.84915, 4.02794, 5.05475, 5.38264, 4.48772, 7.02055, 7.81637, 7.35381, 8.47074, 10.6082, 9.56076, 10.2938
1, 1.05964, 1.62925, 2.45381, 3.18014, 2.82431, 2.88621, 2.80042, 4.05001, 3.65755, 3.87714, 3.69995, 3.61532, 3.89434, 4.07925, 4.5869, 5.15481, 4.59356, 6.89219, 7.68604, 7.19165, 8.32797, 10.3692, 9.43348, 10.5694
1, 1, 1.71555, 2.38088, 3.11676, 2.60117, 2.81147, 3.00542, 3.81911, 3.74586, 3.86381, 3.90733, 3.67908, 3.9755, 4.09464, 4.47965, 5.2017, 4.58884, 6.47695, 7.60692, 7.28353, 7.91652, 10.6639, 9.64377, 11.2511
1, 1.13451, 1.42416, 2.51712, 2.86743, 2.60632, 2.77936, 3.02318, 3.80899, 3.61274, 3.90638, 3.87745, 3.67508, 4.64494, 4.07185, 4.64747, 5.13914, 4.78676, 6.40289, 7.60252, 7.40286, 7.73892, 10.7453, 9.65861, 11.5086
1, 1.1139, 1.39632, 2.37732, 2.2807, 2.5705, 2.73823, 3.11966, 3.65896, 3.57689, 4.02324, 3.56023, 3.64137, 4.76688, 4.14992, 5.41803, 5.11903, 4.90236, 6.22792, 7.6027, 7.34672, 8.10605, 10.6153, 9.72493, 12.2811
1, 1.31307, 1.17837, 2.24329, 2.37946, 2.47396, 2.851, 3.02563, 3.39901, 3.51436, 3.94858, 3.31819, 3.93411, 4.64464, 4.36371, 5.42371, 5.05558, 5.05581, 6.19788, 7.63001, 7.74209, 7.95022, 10.5153, 9.72792, 11.8179
1, 1.265, 1.17581, 2.18211, 2.8192, 2.22692, 2.83389, 3.10948, 3.68124, 3.54761, 4.07328, 3.54703, 3.87083, 4.21707, 4.33892, 5.16612, 5.08233, 4.99527, 6.44674, 7.75743, 7.82622, 7.73598, 10.8059, 9.8366, 11.376
1, 1.17259, 1.37405, 2.16169, 2.34149, 2.73554, 2.86925, 3.12241, 3.73148, 3.59933, 4.00166, 3.67434, 3.87765, 3.87783, 4.34765, 5.24406, 5.07696, 4.84292, 6.50414, 7.68153, 7.53843, 7.96086, 10.5335, 10.1792, 11.2071
1, 1.19257, 1.37758, 2.11982, 2.46436, 2.87066, 2.82021, 3.03083, 3.58279, 3.61721, 3.98936, 3.31213, 3.99433, 3.8489, 4.29115, 5.28391, 5.51559, 4.85832, 6.36783, 7.64054, 7.69994, 7.9182, 10.6101, 10.7311, 11.7575
1, 1.16748, 1.5887, 2.12088, 2.76002, 2.73914, 2.81158, 2.90295, 3.50272, 3.57799, 3.98624, 3.58615, 3.94312, 3.88679, 4.35432, 5.12661, 5.6415, 4.74612, 6.30643, 7.52233, 7.84912, 7.92017, 10.7193, 10.6042, 11.6828
1, 1.07985, 1.68741, 2.19785, 3.08484, 2.69105, 2.81566, 2.85172, 3.43077, 3.61943, 3.976, 3.33621, 3.9645, 4.21054, 4.268, 5.1465, 5.56909, 4.77712, 6.66229, 7.4554, 7.89116, 8.06586, 10.4842, 10.7032, 11.5524
