Collection_Year,Serotype,Number_of_Serotypes,Age_Years
2011,11A,2,3. 2> - <=3 years
2011,11A,3,4. 3> - <=4 years
2011,11A,2,5. 4> - <=5 years
2011,11A,1,6. 5> - <=6 years
2011,11A,1,7. 6> - <=7 years
2011,13,1,4. 3> - <=4 years
2011,15A,4,1. <=1 year
2011,15A,3,2. 1> - <=2 years
2011,15A,4,3. 2> - <=3 years
2011,15A,2,4. 3> - <=4 years
2011,15A,1,5. 4> - <=5 years
2011,15A,1,7. 6> - <=7 years
2011,15B/C,14,1. <=1 year
2011,15B/C,21,2. 1> - <=2 years
2011,15B/C,7,3. 2> - <=3 years
2011,15B/C,5,4. 3> - <=4 years
2011,15B/C,7,5. 4> - <=5 years
2011,15B/C,2,6. 5> - <=6 years
2011,15B/C,2,7. 6> - <=7 years
2011,16F,3,1. <=1 year
2011,16F,2,2. 1> - <=2 years
2011,16F,1,3. 2> - <=3 years
2011,16F,1,6. 5> - <=6 years
2011,17F,2,1. <=1 year
2011,17F,1,2. 1> - <=2 years
2011,17F,2,3. 2> - <=3 years
2011,17F,1,6. 5> - <=6 years
2011,19A,9,1. <=1 year
2011,19A,11,2. 1> - <=2 years
2011,19A,9,3. 2> - <=3 years
2011,19A,3,4. 3> - <=4 years
2011,19A,4,5. 4> - <=5 years
2011,19A,4,6. 5> - <=6 years
2011,19A,1,7. 6> - <=7 years
2011,19F,1,1. <=1 year
2011,19F,3,5. 4> - <=5 years
2011,19F,2,6. 5> - <=6 years
2011,20,2,1. <=1 year
2011,20,1,2. 1> - <=2 years
2011,20,1,7. 6> - <=7 years
2011,21,7,1. <=1 year
2011,21,2,2. 1> - <=2 years
2011,21,3,4. 3> - <=4 years
2011,21,5,5. 4> - <=5 years
2011,21,5,6. 5> - <=6 years
2011,22F,5,1. <=1 year
2011,22F,4,2. 1> - <=2 years
2011,22F,2,4. 3> - <=4 years
2011,22F,4,5. 4> - <=5 years
2011,22F,1,6. 5> - <=6 years
2011,22F,1,7. 6> - <=7 years
2011,23A,4,1. <=1 year
2011,23A,7,2. 1> - <=2 years
2011,23A,3,3. 2> - <=3 years
2011,23A,2,4. 3> - <=4 years
