76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 71, 69, 77, 69, 75, 68, 70, 63, 51, 47, 47, 57, 50, 46, 29, 36, 23, 37, 36, 27, 26, 30, 24, 35, 27, 25, 29, 24, 23, 29, 25, 24, 12, 22, 12, 11, 15, 14, 13, 13, 9, 8, 3, 5, 7, 10, 3, 1, 3, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0
66, 76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 71, 68, 76, 63, 73, 66, 64, 62, 50, 45, 45, 55, 49, 45, 27, 35, 23, 36, 35, 26, 24, 29, 23, 31, 27, 25, 28, 22, 23, 28, 25, 23, 12, 19, 12, 10, 14, 13, 11, 11, 6, 7, 3, 5, 7, 8, 2, 1, 2, 4, 0, 1, 0, 0, 0, 0, 0, 0
71, 66, 76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 69, 68, 71, 59, 71, 64, 59, 58, 48, 42, 44, 53, 46, 42, 26, 34, 23, 31, 35, 24, 23, 29, 23, 31, 27, 25, 26, 21, 23, 28, 23, 21, 10, 17, 11, 9, 13, 11, 11, 10, 6, 7, 3, 5, 6, 6, 0, 1, 2, 3, 0, 1, 0, 0, 0, 0, 0
78, 71, 66, 76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 65, 68, 64, 70, 57, 68, 59, 55, 53, 42, 38, 42, 52, 43, 39, 25, 31, 23, 30, 33, 24, 22, 29, 22, 31, 27, 24, 25, 19, 20, 27, 22, 21, 8, 15, 10, 8, 12, 8, 10, 9, 6, 7, 3, 5, 5, 6, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0
75, 78, 71, 66, 76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 65, 66, 61, 65, 54, 61, 56, 52, 48, 41, 37, 38, 48, 41, 37, 24, 30, 22, 28, 32, 23, 22, 29, 21, 31, 27, 24, 24, 19, 19, 24, 21, 21, 8, 14, 9, 8, 11, 7, 8, 8, 6, 5, 2, 5, 4, 4, 0, 1, 0, 2, 0, 0, 0, 0, 0
67, 75, 78, 71, 66, 76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 88, 64, 64, 61, 62, 51, 59, 55, 49, 46, 40, 36, 34, 45, 41, 34, 24, 28, 22, 28, 31, 22, 21, 28, 21, 29, 26, 22, 24, 18, 15, 21, 21, 19, 8, 14, 8, 8, 8, 6, 7, 7, 6, 3, 1, 5, 3, 1, 0, 1, 0, 2, 0, 0, 0, 0
59, 67, 75, 78, 71, 66, 76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 80, 88, 63, 62, 60, 57, 50, 58, 53, 46, 41, 38, 35, 32, 45, 39, 33, 24, 25, 20, 27, 30, 22, 21, 27, 20, 26, 25, 22, 23, 16, 14, 21, 21, 17, 7, 14, 6, 8, 8, 6, 6, 6, 6, 3, 0, 5, 2, 1, 0, 1, 0, 1, 0, 0, 0
80, 59, 67, 75, 78, 71, 66, 76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 86, 81, 78, 85, 59, 54, 56, 55, 46, 55, 49, 44, 38, 37, 32, 32, 44, 37, 31, 23, 24, 20, 27, 29, 22, 21, 26, 18, 25, 24, 21, 20, 15, 13, 19, 19, 16, 7, 13, 5, 8, 7, 6, 6, 4, 5, 3, 0, 3, 2, 1, 0, 1, 0, 1, 0, 0
80, 80, 59, 67, 75, 78, 71, 66, 76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 84, 78, 76, 79, 53, 49, 54, 53, 43, 49, 47, 41, 37, 35, 30, 29, 42, 36, 29, 23, 23, 20, 26, 27, 21, 20, 26, 18, 25, 24, 21, 20, 15, 12, 19, 17, 15, 7, 9, 4, 8, 6, 4, 5, 3, 4, 2, 0, 1, 2, 0, 0, 1, 0, 1, 0
81, 81, 80, 59, 67, 75, 78, 71, 66, 76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 81, 96, 81, 76, 75, 75, 49, 48, 49, 47, 37, 48, 47, 38, 36, 34, 29, 29, 42, 36, 27, 23, 22, 20, 25, 27, 20, 19, 25, 18, 24, 23, 16, 17, 15, 10, 14, 17, 10, 6, 9, 4, 6, 6, 2, 3, 1, 4, 2, 0, 1, 2, 0, 0, 0, 0, 0
82, 82, 81, 80, 59, 67, 75, 78, 71, 66, 76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 91, 80, 92, 77, 72, 72, 65, 46, 45, 46, 43, 34, 46, 44, 36, 35, 32, 29, 29, 39, 36, 27, 23, 22, 20, 25, 26, 19, 18, 24, 17, 22, 22, 15, 16, 11, 9, 13, 14, 10, 5, 9, 3, 6, 5, 2, 1, 1, 3, 2, 0, 0, 1, 0, 0, 0, 0
81, 82, 82, 81, 80, 59, 67, 75, 78, 71, 66, 76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 88, 74, 87, 76, 66, 69, 63, 43, 42, 41, 42, 33, 41, 41, 35, 34, 32, 28, 27, 38, 36, 27, 23, 22, 18, 25, 26, 18, 16, 24, 16, 21, 20, 14, 12, 8, 8, 12, 11, 9, 4, 9, 3, 6, 5, 1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0
85, 81, 82, 82, 81, 80, 59, 67, 75, 78, 71, 66, 76, 108, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 69, 80, 86, 72, 84, 71, 63, 63, 58, 40, 40, 36, 39, 29, 38, 36, 34, 33, 31, 27, 26, 38, 36, 27, 22, 22, 17, 25, 26, 17, 14, 20, 16, 21, 19, 12, 12, 6, 8, 10, 9, 8, 3, 8, 3, 5, 5, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
