1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25
1, 1.08998, 1.67033, 2.47676, 2.43217, 2.83379, 2.59792, 3.43549, 4.34996, 4.31297, 4.40515, 4.10974, 3.60734, 3.20148, 5.35695, 5.15255, 5.69983, 5.57478, 7.13315, 7.34861, 8.58559, 10.1778, 10.6258, 12.0557, 16.4394
1, 1.12313, 1.77018, 2.50799, 2.43238, 2.82941, 2.40815, 3.29483, 4.29329, 4.29273, 4.51236, 4.18798, 3.46465, 3.48659, 5.33534, 5.13345, 5.86485, 6.0152, 7.106, 7.50843, 8.55587, 10.121, 10.4559, 11.21, 16.2141
1, 1.23585, 2.08818, 2.16055, 2.50749, 2.81469, 2.40742, 3.29988, 4.24167, 4.3007, 4.45006, 4.20709, 3.43221, 3.66118, 5.39212, 5.16113, 5.77226, 6.03284, 7.08984, 7.49226, 8.28669, 10.3623, 10.5895, 10.965, 15.9702
1, 1.28065, 1.67309, 2.1546, 2.47691, 2.75988, 2.74604, 3.13241, 4.26823, 4.36974, 4.60124, 4.26405, 3.3687, 4.17981, 5.41464, 5.11397, 5.74558, 5.9097, 7.31073, 7.46569, 7.91842, 10.2805, 10.4517, 10.7755, 15.7786
1, 1.32776, 1.63787, 2.04365, 2.4325, 2.74688, 2.65921, 3.15747, 4.23674, 4.28897, 4.48207, 4.34249, 3.14353, 4.03721, 5.35917, 5.10473, 5.61932, 5.91666, 7.20634, 7.57844, 8.18523, 10.1236, 10.3802, 9.85325, 15.7254
1, 1.16749, 1.42308, 2.10245, 2.70891, 2.73668, 2.67741, 3.13593, 4.14567, 4.30425, 4.29135, 4.29139, 3.54724, 4.18687, 5.30927, 5.18944, 5.5501, 5.93348, 7.01333, 7.53854, 8.44177, 10.3506, 10.3868, 9.45735, 15.6483
1, 1.20558, 1.55509, 1.94481, 2.69541, 2.65167, 2.6134, 2.95286, 4.11345, 4.34398, 4.39861, 4.2252, 3.45117, 4.48302, 5.25339, 5.19022, 5.37084, 5.95515, 7.22308, 7.5914, 8.58339, 10.3023, 10.3224, 9.58147, 15.6695
1, 1.20286, 1.43401, 1.87209, 2.87486, 2.63713, 2.51302, 3.01136, 4.01546, 4.30042, 4.48759, 4.24462, 3.97799, 4.14096, 5.09563, 5.0613, 5.34856, 5.78092, 7.26794, 7.45604, 8.80109, 10.1513, 10.2514, 9.78979, 15.6395
1, 1.08562, 1.52151, 2.03299, 2.86392, 2.56204, 2.50984, 3.02975, 3.96782, 4.31539, 4.32505, 4.18747, 3.99005, 3.76316, 5.13363, 5.06781, 5.22817, 5.80235, 7.25133, 7.49202, 8.41038, 10.3202, 10.6402, 9.68075, 15.6591
1, 1.12331, 1.42437, 2.05145, 2.74405, 2.64793, 2.48149, 3.11377, 3.91995, 4.33287, 4.31675, 4.13464, 4.09349, 4.00414, 5.26322, 5.11361, 5.26432, 5.80891, 7.23535, 7.47505, 8.75308, 10.1555, 10.5679, 9.97871, 15.5163
